acceleration axis x,acceleration axis y,acceleration axis z,timestamp
192,-192,960,1683569105
192,-192,960,1683569106
192,-192,960,1683569107
192,-192,960,1683569108
192,-192,960,1683569109
192,-192,768,1683569110
192,-192,960,1683569111
192,-192,960,1683569112
192,-192,768,1683569113
192,-192,960,1683569114
192,-192,960,1683569115
192,-192,768,1683569116
192,-192,960,1683569117
192,-192,960,1683569118
192,-192,768,1683569119
192,-192,768,1683569120
192,-192,960,1683569121
192,-192,960,1683569122
192,-192,960,1683569123
192,-192,768,1683569124
192,-192,960,1683569125
192,-192,960,1683569126
192,-192,960,1683569127
192,-192,960,1683569128
192,-192,960,1683569129
192,-192,960,1683569130
192,-192,960,1683569131
192,-192,768,1683569132
192,-192,960,1683569133
192,-192,960,1683569134
192,-192,960,1683569135
192,-192,960,1683569136
192,-192,960,1683569137
192,-192,960,1683569138
192,-192,960,1683569139
192,-192,960,1683569140
192,-192,768,1683569141
192,-192,768,1683569142
192,-192,960,1683569143
192,-192,960,1683569144
192,-192,960,1683569145
192,-192,768,1683569146
192,-192,960,1683569147
192,-192,960,1683569148
192,-192,960,1683569149
192,-192,960,1683569150
192,-192,768,1683569151
192,-192,960,1683569152
192,-192,960,1683569157
192,-192,960,1683569158
192,-192,768,1683569159
192,-192,960,1683569160
192,-192,960,1683569161
192,-192,960,1683569162
192,-192,960,1683569163
0,-192,960,1683569164
-384,0,768,1683569165
-192,-192,960,1683569166
-576,0,768,1683569167
-576,0,768,1683569168
-384,0,768,1683569169
-576,0,768,1683569170
-576,0,768,1683569171
-384,0,768,1683569172
-384,0,960,1683569173
-384,192,768,1683569174
-384,192,768,1683569175
-384,0,768,1683569176
-384,192,768,1683569177
-384,192,768,1683569178
-384,0,960,1683569179
-384,192,960,1683569180
-384,192,960,1683569181
-384,0,960,1683569182
-384,0,768,1683569183
-384,0,768,1683569184
-192,0,960,1683569185
-576,192,768,1683569186
-576,0,768,1683569187
-576,0,768,1683569188
-576,192,768,1683569189
-768,192,768,1683569191
-768,192,768,1683569192
-576,192,768,1683569193
-576,192,768,1683569194
-576,192,576,1683569195
-576,192,576,1683569196
-768,0,576,1683569197
-768,192,576,1683569198
-576,192,768,1683569199
-576,192,576,1683569200
-576,0,576,1683569201
-768,192,576,1683569202
-768,192,576,1683569203
-768,0,576,1683569204
-768,192,576,1683569205
-768,192,576,1683569206
-768,192,576,1683569207
-768,192,576,1683569208
-576,192,768,1683569209
-576,192,768,1683569210
-768,192,384,1683569211
-768,192,192,1683569212
-960,192,192,1683569213
-960,192,192,1683569214
-960,192,192,1683569215
-960,192,192,1683569216
-960,192,192,1683569217
-960,192,192,1683569218
-960,192,192,1683569219
-960,192,192,1683569220
-960,192,192,1683569221
-960,192,192,1683569222
-960,192,192,1683569223
-960,192,192,1683569224
-960,192,192,1683569225
-960,192,192,1683569226
-960,192,192,1683569227
-960,192,192,1683569228
-960,192,0,1683569229
-960,192,0,1683569230
-960,192,0,1683569231
-960,192,0,1683569232
-960,192,0,1683569233
-960,192,0,1683569234
-960,192,0,1683569235
-960,192,0,1683569236
-960,192,-192,1683569237
-768,192,192,1683569238
-960,192,192,1683569239
-960,192,192,1683569240
-960,192,192,1683569241
-960,192,192,1683569242
-960,192,192,1683569243
-960,192,192,1683569244
-960,192,192,1683569245
-960,192,192,1683569246
-960,192,192,1683569247
-960,192,192,1683569248
-960,192,192,1683569249
-960,192,192,1683569250
-960,192,192,1683569251
-960,192,192,1683569252
-960,192,192,1683569253
-960,192,192,1683569254
-960,192,192,1683569255
-960,192,192,1683569256
-960,192,192,1683569257
-960,192,192,1683569258
-960,0,384,1683569259
-960,192,192,1683569260
-960,192,192,1683569261
-960,192,192,1683569262
-960,192,192,1683569263
-960,192,192,1683569264
-960,192,192,1683569265
-960,192,192,1683569266
-960,192,192,1683569267
-960,192,192,1683569268
-960,192,192,1683569269
-960,192,192,1683569270
-960,192,192,1683569271
-960,192,192,1683569272
-960,192,192,1683569273
-960,192,192,1683569274
-960,192,192,1683569275
-960,192,192,1683569276
-960,192,192,1683569277
-960,192,192,1683569278
-960,0,192,1683569279
-960,192,192,1683569280
-960,192,192,1683569281
-960,192,192,1683569282
-960,192,192,1683569283
-960,192,192,1683569284
-960,192,192,1683569285
-960,192,192,1683569286
-960,192,192,1683569287
-960,192,192,1683569288
-960,192,192,1683569289
-960,192,192,1683569290
-960,192,192,1683569292
-960,192,192,1683569293
-960,192,192,1683569294
-960,192,192,1683569295
-960,192,192,1683569296
-1152,384,0,1683569297
-768,384,192,1683569298
-768,384,0,1683569299
-960,192,0,1683569300
-960,192,0,1683569301
-960,192,0,1683569302
-960,192,0,1683569303
-960,192,0,1683569304
-960,192,0,1683569305
-960,192,-192,1683569306
-960,192,0,1683569307
-960,192,0,1683569308
-960,192,0,1683569309
-960,192,0,1683569310
-960,192,0,1683569311
-960,192,-192,1683569312
-960,192,0,1683569313
-960,192,0,1683569314
-960,192,0,1683569315
-960,192,0,1683569316
-960,192,0,1683569317
-960,384,0,1683569318
-960,384,0,1683569319
-960,192,0,1683569320
-960,192,0,1683569321
-960,192,0,1683569322
-960,384,-192,1683569323
-960,192,-192,1683569324
-960,192,-192,1683569325
-960,192,-192,1683569326
-960,192,0,1683569327
-960,192,-192,1683569328
-960,192,0,1683569329
-960,192,-192,1683569330
-960,192,-192,1683569331
-960,192,-192,1683569332
-960,192,-192,1683569333
-960,192,-192,1683569334
-768,192,-192,1683569335
-960,192,-192,1683569336
-960,192,-192,1683569337
-960,192,-192,1683569338
-960,192,-192,1683569339
-960,192,0,1683569340
-960,192,-192,1683569341
-960,192,0,1683569342
-960,192,-192,1683569343
-960,384,0,1683569344
-960,192,-192,1683569345
-960,384,0,1683569346
-960,192,-192,1683569347
-960,192,-192,1683569348
-960,192,-192,1683569349
-960,192,0,1683569350
-960,192,-192,1683569351
-960,192,-192,1683569352
-960,192,-192,1683569353
-768,192,-192,1683569354
-960,192,-192,1683569355
-960,192,0,1683569356
-960,192,-192,1683569357
-960,192,-192,1683569358
-960,192,-192,1683569359
-960,192,0,1683569360
-768,192,-192,1683569361
-960,192,-192,1683569362
-768,192,-192,1683569363
-960,192,0,1683569364
-768,192,0,1683569365
-960,192,-192,1683569366
-960,192,0,1683569367
-960,192,-192,1683569368
-960,192,-192,1683569369
-960,192,-192,1683569370
-960,384,-192,1683569371
-960,192,0,1683569372
-960,192,0,1683569373
-960,192,0,1683569374
-960,192,-192,1683569375
-960,192,-192,1683569376
-960,192,0,1683569377
-960,192,0,1683569378
-960,192,0,1683569379
-960,192,-192,1683569380
-960,192,0,1683569381
-960,192,-192,1683569382
-960,384,384,1683569383
-768,-192,-576,1683569384
-768,-192,-576,1683569385
-768,-192,-576,1683569386
-1152,-192,0,1683569387
-192,-384,960,1683569388
0,-384,768,1683569389
0,-384,960,1683569390
0,-384,768,1683569391
0,-384,960,1683569393
0,-384,960,1683569394
0,-384,960,1683569395
0,-384,960,1683569396
0,-384,960,1683569397
192,-384,960,1683569398
0,-384,960,1683569399
960,0,384,1683569400
768,-192,384,1683569401
768,0,384,1683569402
960,0,192,1683569403
960,0,384,1683569404
960,0,192,1683569405
960,192,384,1683569406
192,0,1344,1683569407
384,-576,768,1683569408
-192,-192,960,1683569409
-192,-192,960,1683569410
-192,-384,768,1683569411
-192,-384,768,1683569412
384,-576,960,1683569413
0,-576,-960,1683569414
768,-576,192,1683569415
0,-1152,768,1683569416
576,0,768,1683569417
384,0,768,1683569418
384,0,768,1683569419
576,0,768,1683569420
576,0,768,1683569421
384,0,768,1683569422
384,0,768,1683569423
576,0,960,1683569424
576,0,768,1683569425
576,0,768,1683569428
576,0,768,1683569429
576,192,768,1683569430
576,192,768,1683569431
576,0,768,1683569432
576,0,768,1683569433
768,192,576,1683569434
576,192,576,1683569435
576,192,768,1683569436
576,192,768,1683569437
576,0,768,1683569438
576,192,576,1683569439
576,0,576,1683569440
576,192,576,1683569441
576,0,576,1683569443
576,192,576,1683569444
576,192,768,1683569445
576,0,576,1683569446
768,192,576,1683569447
768,192,576,1683569448
576,0,768,1683569449
768,192,576,1683569450
576,192,576,1683569451
576,192,576,1683569452
768,192,576,1683569453
768,192,576,1683569455
768,192,576,1683569456
768,192,576,1683569457
768,192,576,1683569458
576,0,768,1683569459
576,192,576,1683569460
576,192,768,1683569461
576,192,576,1683569462
576,192,576,1683569463
576,192,768,1683569464
576,192,576,1683569465
576,0,768,1683569466
576,192,768,1683569467
576,192,768,1683569468
576,192,768,1683569469
576,192,768,1683569470
576,192,768,1683569471
576,192,768,1683569472
576,192,576,1683569473
576,192,768,1683569474
576,192,768,1683569475
576,192,768,1683569476
576,0,768,1683569477
576,192,576,1683569478
576,192,768,1683569479
576,192,576,1683569480
576,192,768,1683569481
576,192,768,1683569482
576,192,768,1683569483
576,192,576,1683569484
576,192,768,1683569485
576,192,576,1683569486
576,192,768,1683569487
576,192,768,1683569488
576,192,768,1683569489
576,192,768,1683569490
576,192,768,1683569491
576,192,576,1683569492
576,192,576,1683569493
576,192,576,1683569494
576,192,768,1683569495
576,192,768,1683569496
576,192,576,1683569498
576,192,768,1683569499
576,192,768,1683569500
576,192,576,1683569501
384,384,768,1683569502
384,192,768,1683569503
384,384,768,1683569504
192,384,768,1683569505
192,192,768,1683569506
192,384,768,1683569507
192,384,768,1683569508
384,384,768,1683569509
192,384,768,1683569510
192,384,768,1683569511
192,192,768,1683569512
192,192,768,1683569513
192,192,768,1683569514
384,192,768,1683569515
192,384,768,1683569516
192,384,768,1683569517
192,384,960,1683569518
192,192,768,1683569519
192,192,768,1683569520
192,192,768,1683569521
384,384,768,1683569522
192,384,768,1683569523
192,384,768,1683569524
192,192,768,1683569525
192,384,768,1683569526
192,384,768,1683569527
384,384,768,1683569528
192,384,768,1683569529
192,384,960,1683569530
192,192,768,1683569531
384,192,768,1683569532
192,192,768,1683569533
192,192,768,1683569534
384,384,768,1683569535
384,384,768,1683569536
384,192,768,1683569537
384,192,768,1683569538
384,384,768,1683569539
384,384,768,1683569540
384,192,768,1683569541
192,192,768,1683569542
192,192,768,1683569543
192,192,768,1683569544
192,192,768,1683569545
384,384,768,1683569546
384,384,768,1683569547
192,384,768,1683569548
192,384,768,1683569549
384,384,960,1683569550
384,384,768,1683569551
384,384,768,1683569552
192,384,768,1683569553
384,384,768,1683569554
384,384,768,1683569555
384,384,768,1683569556
384,384,768,1683569557
0,384,768,1683569558
192,384,384,1683569559
192,576,576,1683569560
960,0,576,1683569561
384,-192,960,1683569562
192,-192,768,1683569563
384,-384,960,1683569564
192,-384,768,1683569565
384,-192,768,1683569566
192,-384,960,1683569567
384,-384,768,1683569568
384,-192,768,1683569569
192,-192,768,1683569570
384,-384,960,1683569571
